,retweet_count,favorite_count,followers_count,predict_class_label,Date_class
920,145,1226,6.82,2,3
921,16,82,0.435,1,2
922,2160,0,43,4,0
923,14,0,0.136,3,3
924,15,0,6.82,3,2
925,2835,17878,43,2,0
926,0,1,0.136,3,0
927,211,0,0.0364,2,0
928,2778,4247,43,2,4
929,3,0,0.136,4,0
930,25,0,0.136,4,3
931,1434,0,0.435,3,3
932,59,0,0.0364,2,0
933,93,0,0.435,3,2
934,37,383,6.82,4,3
935,107,1052,6.82,4,1
936,0,14,0.0364,4,0
937,958,0,0.435,4,1
938,0,0,1.43,4,0
939,0,11,0.0364,2,3
940,478,816,43,2,4
941,195,1315,6.82,2,1
942,84,109,43,4,2
943,322,724,43,2,3
944,54,0,6.82,2,1
945,360,0,0.435,4,2
946,613,860,43,2,3
947,2,10,0.136,2,3
948,5,0,0.0364,2,0
949,10,0,0.136,4,3
950,69,640,6.82,4,2
951,94,857,6.82,4,2
952,0,2,0.0364,4,4
953,4,0,1.43,3,1
954,0,0,0.0364,4,4
955,0,0,0.0364,4,0
956,121,0,0.136,4,4
957,24,0,6.82,3,3
958,0,34,0.0364,4,4
959,6,6,0.136,1,4
960,91,0,0.435,2,0
961,6,0,0.136,2,0
962,26,0,0.435,2,2
963,46,0,1.43,1,3
964,1,17,0.136,4,0
965,0,1,0.0364,4,3
966,0,0,0.136,4,3
967,1674,3945,0.435,4,0
968,0,6,0.0364,4,4
969,18,189,1.43,4,1
970,74,0,0.435,1,3
971,77,0,0.435,2,2
972,34,321,6.82,4,0
973,152,0,1.43,4,3
974,3,14,0.136,3,3
975,13,0,1.43,3,2
976,3952,1273,43,1,0
977,476,1226,43,3,4
978,928,5272,6.82,4,3
979,7,0,0.435,1,2
